Timestamp,ID,Day,Description,Duration,DurationAsString,Segments
31/12/2021 14:03:38,WjTSJGdBQj,20211231-14:03:36,Unknown (unable to detect activity),82379000,22:52:59,8
31/12/2021 14:03:39,WjTSJGdBQj,20211231-14:03:36,Walking,1860000,00:31:00,5
31/12/2021 14:03:39,WjTSJGdBQj,20211231-14:03:36,Other (unclassified fitness activity),2160000,00:36:00,2
31/12/2021 14:06:16,ydun27JYqN,20211231-14:06:19,Unknown (unable to detect activity),79559000,22:05:59,13
31/12/2021 14:06:17,ydun27JYqN,20211231-14:06:19,Walking,4080000,01:08:00,9
31/12/2021 14:06:17,ydun27JYqN,20211231-14:06:19,Other (unclassified fitness activity),2760000,00:46:00,3
31/12/2021 17:27:57,WjTSJGdBQj,20211231-11:59:59,Unknown (unable to detect activity),80999000,22:29:59,9
31/12/2021 17:27:57,WjTSJGdBQj,20211231-11:59:59,Walking,1860000,00:31:00,5
31/12/2021 17:27:58,WjTSJGdBQj,20211231-11:59:59,Other (unclassified fitness activity),3540000,00:59:00,3
31/12/2021 17:28:23,WjTSJGdBQj,20211231-17:28:21,Unknown (unable to detect activity),80999000,22:29:59,9
31/12/2021 17:28:24,WjTSJGdBQj,20211231-17:28:21,Walking,1860000,00:31:00,5
31/12/2021 17:28:24,WjTSJGdBQj,20211231-17:28:21,Other (unclassified fitness activity),3540000,00:59:00,3
31/12/2021 17:28:28,WjTSJGdBQj,20211231-17:28:25,Unknown (unable to detect activity),80999000,22:29:59,9
31/12/2021 17:28:28,WjTSJGdBQj,20211231-17:28:25,Walking,1860000,00:31:00,5
31/12/2021 17:28:28,WjTSJGdBQj,20211231-17:28:25,Other (unclassified fitness activity),3540000,00:59:00,3
31/12/2021 17:28:44,WjTSJGdBQj,20211231-11:59:59,Unknown (unable to detect activity),80999000,22:29:59,9
31/12/2021 17:28:44,WjTSJGdBQj,20211231-11:59:59,Walking,1860000,00:31:00,5
31/12/2021 17:28:44,WjTSJGdBQj,20211231-11:59:59,Other (unclassified fitness activity),3540000,00:59:00,3
31/12/2021 19:19:25,WPooa9cRhe,20211231-19:19:23,Unknown (unable to detect activity),70161865,19:29:21,22
31/12/2021 19:19:26,WPooa9cRhe,20211231-19:19:23,Walking,4553438,01:15:53,19
31/12/2021 19:19:26,WPooa9cRhe,20211231-19:19:23,In vehicle,2323008,00:38:43,4
31/12/2021 19:19:26,WPooa9cRhe,20211231-19:19:23,Other (unclassified fitness activity),9360000,02:36:00,5
01/01/2022 14:01:28,WPooa9cRhe,20220101-14:01:26,Unknown (unable to detect activity),62037380,17:13:57,27
01/01/2022 14:01:29,WPooa9cRhe,20220101-14:01:26,Other (unclassified fitness activity),6660000,01:51:00,6
01/01/2022 14:01:29,WPooa9cRhe,20220101-14:01:26,Walking,5286057,01:28:06,23
01/01/2022 14:01:29,WPooa9cRhe,20220101-14:01:26,In vehicle,12212578,03:23:32,7
01/01/2022 14:01:30,WPooa9cRhe,20220101-14:01:26,Running,202985,00:03:22,1
01/01/2022 14:04:13,IzZzhqcNgb,20220101-14:04:11,Unknown (unable to detect activity),86399000,23:59:59,1
01/01/2022 14:15:33,WjTSJGdBQj,20220101-14:15:30,Unknown (unable to detect activity),83579000,23:12:59,4
01/01/2022 14:15:33,WjTSJGdBQj,20220101-14:15:30,Walking,480000,00:08:00,1
01/01/2022 14:15:34,WjTSJGdBQj,20220101-14:15:30,Other (unclassified fitness activity),2340000,00:39:00,2
01/01/2022 14:26:00,ydun27JYqN,20220101-14:26:03,Unknown (unable to detect activity),71219000,19:46:59,21
01/01/2022 14:26:01,ydun27JYqN,20220101-14:26:03,Walking,7680000,02:08:00,14
01/01/2022 14:26:01,ydun27JYqN,20220101-14:26:03,Other (unclassified fitness activity),7500000,02:05:00,6
02/01/2022 11:54:59,4KIVcPBHLi,20220102-11:54:56,Unknown (unable to detect activity),86399000,23:59:59,1
02/01/2022 14:00:23,XoyogQMtou,20220102-14:00:18,Unknown (unable to detect activity),80420283,22:20:20,7
02/01/2022 14:00:24,XoyogQMtou,20220102-14:00:18,Walking,2335240,00:38:55,7
02/01/2022 14:00:24,XoyogQMtou,20220102-14:00:18,In vehicle,3643476,01:00:43,2
02/01/2022 14:03:19,vCTkloMaa0,20220102-14:03:23,Unknown (unable to detect activity),86399000,23:59:59,1
02/01/2022 14:04:37,IzZzhqcNgb,20220102-14:04:36,Unknown (unable to detect activity),86399000,23:59:59,1
02/01/2022 14:10:30,ydun27JYqN,20220102-14:10:33,Unknown (unable to detect activity),81839000,22:43:59,7
02/01/2022 14:10:31,ydun27JYqN,20220102-14:10:33,Walking,1380000,00:23:00,4
02/01/2022 14:10:31,ydun27JYqN,20220102-14:10:33,Other (unclassified fitness activity),3180000,00:53:00,2
02/01/2022 14:58:39,WjTSJGdBQj,20220102-14:58:36,Unknown (unable to detect activity),83099000,23:04:59,7
02/01/2022 14:58:39,WjTSJGdBQj,20220102-14:58:36,Other (unclassified fitness activity),2280000,00:38:00,3
02/01/2022 14:58:39,WjTSJGdBQj,20220102-14:58:36,Walking,1020000,00:17:00,3
02/01/2022 18:59:57,ydun27JYqN,20220102-19:00:00,Unknown (unable to detect activity),79019000,21:56:59,11
02/01/2022 18:59:57,ydun27JYqN,20220102-19:00:00,Walking,3240000,00:54:00,7
02/01/2022 18:59:58,ydun27JYqN,20220102-19:00:00,Other (unclassified fitness activity),4140000,01:09:00,3
03/01/2022 14:01:24,WjTSJGdBQj,20220103-14:01:22,Unknown (unable to detect activity),80819000,22:26:59,9
03/01/2022 14:01:24,WjTSJGdBQj,20220103-14:01:22,Walking,2340000,00:39:00,5
03/01/2022 14:01:25,WjTSJGdBQj,20220103-14:01:22,Other (unclassified fitness activity),3240000,00:54:00,3
03/01/2022 14:03:45,XoyogQMtou,20220103-14:03:43,In vehicle,931247,00:15:31,2
03/01/2022 14:03:45,XoyogQMtou,20220103-14:03:43,Walking,162570,00:02:42,3
03/01/2022 14:03:46,XoyogQMtou,20220103-14:03:43,Unknown (unable to detect activity),85201004,23:40:01,4
03/01/2022 14:03:46,XoyogQMtou,20220103-14:03:43,Running,104177,00:01:44,1
03/01/2022 14:10:06,IzZzhqcNgb,20220103-14:10:03,Unknown (unable to detect activity),86399000,23:59:59,1
03/01/2022 20:14:22,ydun27JYqN,20220103-20:14:25,Unknown (unable to detect activity),82199000,22:49:59,8
03/01/2022 20:14:23,ydun27JYqN,20220103-20:14:25,Walking,2700000,00:45:00,5
03/01/2022 20:14:23,ydun27JYqN,20220103-20:14:25,Other (unclassified fitness activity),1500000,00:25:00,2
04/01/2022 14:00:13,WjTSJGdBQj,20220104-14:00:11,Unknown (unable to detect activity),85079000,23:37:59,2
04/01/2022 14:00:14,WjTSJGdBQj,20220104-14:00:11,Walking,1320000,00:22:00,1
04/01/2022 14:05:52,XoyogQMtou,20220104-14:04:19,Unknown (unable to detect activity),85702772,23:48:22,9
04/01/2022 14:05:53,XoyogQMtou,20220104-14:04:19,Walking,563520,00:09:23,9
04/01/2022 14:05:53,XoyogQMtou,20220104-14:04:19,Running,132702,00:02:12,1
04/01/2022 19:00:54,ydun27JYqN,20220104-19:00:57,Walking,1920000,00:32:00,5
04/01/2022 19:00:55,ydun27JYqN,20220104-19:00:57,Unknown (unable to detect activity),80879000,22:27:59,9
04/01/2022 19:00:55,ydun27JYqN,20220104-19:00:57,Other (unclassified fitness activity),3600000,01:00:00,4
04/01/2022 19:03:58,WPooa9cRhe,20220104-19:03:56,Unknown (unable to detect activity),77857012,21:37:37,12
04/01/2022 19:03:58,WPooa9cRhe,20220104-19:03:56,Walking,3645650,01:00:45,8
04/01/2022 19:03:59,WPooa9cRhe,20220104-19:03:56,In vehicle,636338,00:10:36,1
04/01/2022 19:03:59,WPooa9cRhe,20220104-19:03:56,Other (unclassified fitness activity),4260000,01:11:00,3
05/01/2022 14:00:41,WjTSJGdBQj,20220105-14:00:39,Unknown (unable to detect activity),86099000,23:54:59,2
05/01/2022 14:00:42,WjTSJGdBQj,20220105-14:00:39,Walking,300000,00:05:00,1
05/01/2022 19:00:25,WPooa9cRhe,20220105-19:00:22,Unknown (unable to detect activity),75154667,20:52:34,10
05/01/2022 19:00:26,WPooa9cRhe,20220105-19:00:22,Walking,1046234,00:17:26,5
05/01/2022 19:00:26,WPooa9cRhe,20220105-19:00:22,In vehicle,8038099,02:13:58,5
05/01/2022 19:00:26,WPooa9cRhe,20220105-19:00:22,Other (unclassified fitness activity),2160000,00:36:00,2
05/01/2022 19:01:41,ydun27JYqN,20220105-19:01:44,Unknown (unable to detect activity),81239000,22:33:59,10
05/01/2022 19:01:41,ydun27JYqN,20220105-19:01:44,Walking,2760000,00:46:00,7
05/01/2022 19:01:41,ydun27JYqN,20220105-19:01:44,Other (unclassified fitness activity),2400000,00:40:00,2
05/01/2022 19:13:05,4KIVcPBHLi,20220105-19:13:03,Unknown (unable to detect activity),86399000,23:59:59,1
06/01/2022 14:00:09,IzZzhqcNgb,20220106-14:00:07,Unknown (unable to detect activity),83960270,23:19:20,3
06/01/2022 14:00:09,IzZzhqcNgb,20220106-14:00:07,Running,1753240,00:29:13,1
06/01/2022 14:00:10,IzZzhqcNgb,20220106-14:00:07,Walking,685490,00:11:25,1
06/01/2022 19:00:08,ydun27JYqN,20220106-19:00:10,Unknown (unable to detect activity),79859000,22:10:59,9
06/01/2022 19:00:08,ydun27JYqN,20220106-19:00:10,Other (unclassified fitness activity),6060000,01:41:00,6
06/01/2022 19:00:08,ydun27JYqN,20220106-19:00:10,Walking,480000,00:08:00,2
07/01/2022 07:50:41,4KIVcPBHLi,20220107-07:50:38,Unknown (unable to detect activity),86399000,23:59:59,1
07/01/2022 14:06:46,WjTSJGdBQj,20220107-14:06:44,Unknown (unable to detect activity),84779000,23:32:59,4
07/01/2022 14:06:47,WjTSJGdBQj,20220107-14:06:44,Walking,540000,00:09:00,2
07/01/2022 14:06:47,WjTSJGdBQj,20220107-14:06:44,Other (unclassified fitness activity),1080000,00:18:00,1
07/01/2022 14:08:49,IzZzhqcNgb,20220107-14:08:48,Unknown (unable to detect activity),86399000,23:59:59,1
07/01/2022 15:16:38,vCTkloMaa0,20220102-11:59:59,Unknown (unable to detect activity),86399000,23:59:59,1
07/01/2022 15:25:26,WjTSJGdBQj,20220107-11:59:59,Unknown (unable to detect activity),84779000,23:32:59,4
07/01/2022 15:25:27,WjTSJGdBQj,20220107-11:59:59,Walking,540000,00:09:00,2
07/01/2022 15:25:27,WjTSJGdBQj,20220104-11:59:59,Unknown (unable to detect activity),85079000,23:37:59,2
07/01/2022 15:25:27,WjTSJGdBQj,20220107-11:59:59,Other (unclassified fitness activity),1080000,00:18:00,1
07/01/2022 15:25:27,WjTSJGdBQj,20220104-11:59:59,Walking,1320000,00:22:00,1
07/01/2022 15:25:36,WjTSJGdBQj,20211231-11:59:59,Unknown (unable to detect activity),80999000,22:29:59,9
07/01/2022 15:25:36,WjTSJGdBQj,20211231-11:59:59,Walking,1860000,00:31:00,5
07/01/2022 15:25:36,WjTSJGdBQj,20220104-11:59:59,Unknown (unable to detect activity),85079000,23:37:59,2
07/01/2022 15:25:36,WjTSJGdBQj,20211231-11:59:59,Other (unclassified fitness activity),3540000,00:59:00,3
07/01/2022 15:25:37,WjTSJGdBQj,20220104-11:59:59,Walking,1320000,00:22:00,1
07/01/2022 15:25:37,WjTSJGdBQj,20220107-11:59:59,Unknown (unable to detect activity),84779000,23:32:59,4
07/01/2022 15:25:37,WjTSJGdBQj,20220107-11:59:59,Walking,540000,00:09:00,2
07/01/2022 15:25:38,WjTSJGdBQj,20220107-11:59:59,Other (unclassified fitness activity),1080000,00:18:00,1
07/01/2022 16:45:04,WPooa9cRhe,20220107-16:45:02,Unknown (unable to detect activity),75967711,21:06:07,11
07/01/2022 16:45:04,WPooa9cRhe,20220107-16:45:02,Walking,4244326,01:10:44,7
07/01/2022 16:45:05,WPooa9cRhe,20220107-16:45:02,In vehicle,3306963,00:55:06,2
07/01/2022 16:45:05,WPooa9cRhe,20220107-16:45:02,Other (unclassified fitness activity),2880000,00:48:00,3
07/01/2022 18:27:13,4KIVcPBHLi,20220107-18:27:11,Unknown (unable to detect activity),86399000,23:59:59,1
07/01/2022 18:27:19,4KIVcPBHLi,20211228-11:59:59,Unknown (unable to detect activity),86399000,23:59:59,1
07/01/2022 18:27:20,4KIVcPBHLi,20220107-11:59:59,Unknown (unable to detect activity),86399000,23:59:59,1
